BID RECEIVED UNTIL DATE AND TIME,COUNTY,CONTROLLING PROJECT ID (CCSJ),DISTRICT/ DIVISION,LET TYPE,PROJECT TYPE,PROPOSAL REQUEST,STATE PROJECT NUMBER,VENDOR NAME,TEXAS PRESENCE
12/03/2025 01:00:00 PM,Fort Bend,0027-08-190,Houston,Statewide Let,Construction,Bidders,C 27-8-190,CEKRA INC.,false
12/03/2025 01:00:00 PM,Bell,6492-63-001,Maintenance Division,Statewide Let,Maintenance,Bidders,RMC - A00218181,THOMAS 11 DEVELOPMENT LLC,true
12/09/2025 10:30:00 AM,Montgomery,6490-51-001,Houston,Local District Let,Maintenance,Informational Proposals,RMC - A00217643,ArborTrue LLC,true
12/02/2025 01:00:00 PM,Harris,0912-72-842,Houston,Statewide Let,Construction,Bidders,C 912-72-842,"OLYMPUS PAINTING CONTRACTORS, INC.",false
12/03/2025 01:00:00 PM,Harris,0271-07-353,Houston,Statewide Let,Construction,Bidders,C 271-7-353,"STRIPE-A-ZONE, LLC",true
12/02/2025 01:00:00 PM,Collin,0135-02-075,Dallas,Statewide Let,Construction,Bidders,C 135-2-75,"FOUTSCO PAVING COMPANY, LLC",true
12/02/2025 01:00:00 PM,Hartley,0041-02-020,Amarillo,Statewide Let,Construction,Bidders,,"FNF CONSTRUCTION, INC.",true
12/03/2025 01:00:00 PM,Potter,0904-00-228,Amarillo,Statewide Let,Construction,Bidders,,"STRIPE-A-ZONE, LLC",true
12/02/2025 01:00:00 PM,Webb,2150-04-099,Laredo,Statewide Let,Construction,Bidders,,"ANDERSON COLUMBIA CO., INC.",true
12/02/2025 01:00:00 PM,Kaufman,6489-09-001,Dallas,Statewide Let,Maintenance,Informational Proposals,RMC - A00217303,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,Jackson,0179-09-041,Yoakum,Statewide Let,Construction,Bidders,,"ORION CONSTRUCTION, LLC",true
12/02/2025 01:00:00 PM,Brazoria,0111-08-129,Houston,Statewide Let,Construction,Bidders,,CEKRA INC.,false
12/09/2025 10:30:00 AM,Cherokee,6461-61-001,Tyler,Local District Let,Maintenance,Bidders,RMC - A00206051,CFM TREE SERVICES LLC,true
12/03/2025 01:00:00 PM,Fort Bend,0027-08-190,Houston,Statewide Let,Construction,Bidders,C 27-8-190,"OLYMPUS PAINTING CONTRACTORS, INC.",false
12/03/2025 01:00:00 PM,Hale,0905-12-046,Lubbock,Statewide Let,Construction,Bidders,C 905-12-46,"SILVER CREEK CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Potter,6492-49-001,Amarillo,Statewide Let,Maintenance,Bidders,RMC - A00218138,"STRIPING TECHNOLOGY, L.P.",true
12/17/2025 11:00:00 AM,Orange,6495-28-001,Beaumont,Local District Let,Maintenance,Bidders,MMC - A00218716,THOMAS 11 DEVELOPMENT LLC,true
12/03/2025 01:00:00 PM,Bexar,0017-10-292,San Antonio,Statewide Let,Construction,Bidders,,"FLUOR HEAVY CIVIL, LLC",true
12/03/2025 01:00:00 PM,Navarro,2682-01-024,Dallas,Statewide Let,Construction,Bidders,C 2682-1-24,"FOUTSCO PAVING COMPANY, LLC",true
12/03/2025 01:00:00 PM,Ector,0906-00-256,Odessa,Statewide Let,Construction,Bidders,,"REECE ALBERT, INC.",true
12/02/2025 01:00:00 PM,Starr,6493-64-001,Pharr,Statewide Let,Maintenance,Bidders,RMC - A00218360,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 09:00:00 AM,Travis,6484-31-001,Austin,Local District Let,Maintenance,Bidders,RMC - A00215429,"ELECNOR BELCO ELECTRIC, INC.",true
12/02/2025 01:00:00 PM,Galveston,0367-06-065,Houston,Statewide Let,Construction,Bidders,,"TEXAS GULF CONSTRUCTION COMPANY, INC.",true
12/03/2025 01:00:00 PM,Webb,0086-01-101,Laredo,Statewide Let,Construction,Bidders,,"TRIPLE H FIELD SERVICES, LLC",true
12/03/2025 01:00:00 PM,Navarro,2682-01-024,Dallas,Statewide Let,Construction,Bidders,C 2682-1-24,KNIFE RIVER CORPORATION - SOUTH,true
12/02/2025 01:00:00 PM,Navarro,0574-02-023,Dallas,Statewide Let,Construction,Bidders,C 574-2-23,KNIFE RIVER CORPORATION - SOUTH,true
12/02/2025 01:00:00 PM,Collin,0918-24-285,Dallas,Statewide Let,Construction,Bidders,,"O. TREVINO CONSTRUCTION, LLC",true
12/02/2025 01:00:00 PM,Galveston,0912-73-224,Houston,Statewide Let,Construction,Bidders,,"ENVIRONMENTAL ALLIES, INC.",true
12/02/2025 01:00:00 PM,De Witt,0913-00-139,Yoakum,Statewide Let,Construction,Bidders,,THE TRUESDELL CORPORATION,false
12/03/2025 01:00:00 PM,Harris,0508-01-400,Houston,Statewide Let,Construction,Bidders,C 508-1-400,"ENVIRONMENTAL ALLIES, INC.",true
12/02/2025 01:00:00 PM,Webb,2150-04-099,Laredo,Statewide Let,Construction,Bidders,,"REIM CONSTRUCTION, INC.",true
12/02/2025 01:00:00 PM,Austin,0408-05-032,Yoakum,Statewide Let,Construction,Bidders,C 408-5-32,"ENVIRONMENTAL ALLIES, INC.",true
12/02/2025 01:00:00 PM,Angelina,0244-10-006,Lufkin,Statewide Let,Construction,Bidders,,"STRIPE-A-ZONE, LLC",true
12/09/2025 10:30:00 AM,Montgomery,6479-66-001,Houston,Local District Let,Maintenance,Bidders,RMC - A00213891,ArborTrue LLC,true
11/24/2025 10:00:00 AM,Ector,6494-00-001,Odessa,Local District Let,Maintenance,Bidders,MMC - A00218469,VALUE DRILLING COMPANY INC,true
12/03/2025 01:00:00 PM,Gregg,2642-01-050,Tyler,Statewide Let,Construction,Informational Proposals,,"ROMAN EMPERORS ROAD, LLC",true
12/02/2025 01:00:00 PM,Harris,0912-72-842,Houston,Statewide Let,Construction,Bidders,C 912-72-842,"SOUTHERN ROAD & BRIDGE, LLC",false
12/03/2025 01:00:00 PM,Fort Bend,0027-08-190,Houston,Statewide Let,Construction,Bidders,C 27-8-190,"SOUTHERN ROAD & BRIDGE, LLC",false
12/18/2025 02:00:00 PM,Grayson,6490-64-001,Paris,Local District Let,Maintenance,Bidders,RMC - A00217676,THOMAS 11 DEVELOPMENT LLC,true
12/18/2025 02:00:00 PM,Delta,6493-52-001,Paris,Local District Let,Maintenance,Bidders,RMC - A00218337,THOMAS 11 DEVELOPMENT LLC,true
12/03/2025 01:00:00 PM,Erath,0550-02-056,Fort Worth,Statewide Let,Construction,Bidders,,THOMAS 11 DEVELOPMENT LLC,true
12/10/2025 10:00:00 AM,Dallas,6493-69-001,Dallas,Local District Let,Maintenance,Bidders,RMC - A00218378,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,Galveston,0912-73-224,Houston,Statewide Let,Construction,Bidders,,"ROMAN EMPERORS ROAD, LLC",true
12/03/2025 01:00:00 PM,Fayette,0265-14-018,Yoakum,Statewide Let,Construction,Bidders,,"ROMAN EMPERORS ROAD, LLC",true
12/02/2025 01:00:00 PM,Jackson,0089-05-047,Yoakum,Statewide Let,Construction,Bidders,C 89-5-47,ALTUS CONSTRUCTION LLC,true
12/03/2025 01:00:00 PM,Fayette,1262-01-016,Yoakum,Statewide Let,Construction,Bidders,,"ACME BRIDGE COMPANY, INC.",true
12/03/2025 01:00:00 PM,Caldwell,0152-03-065,Austin,Statewide Let,Construction,Bidders,C 152-3-65,"ACME BRIDGE COMPANY, INC.",true
12/17/2025 10:30:00 AM,Coryell,6492-21-001,Waco,Local District Let,Maintenance,Bidders,RMC - A00218029,THOMAS 11 DEVELOPMENT LLC,true
12/02/2025 01:00:00 PM,Wilson,1122-04-017,San Antonio,Statewide Let,Construction,Bidders,C 1122-4-17,"D & D CONTRACTORS, INC.",true
12/02/2025 01:00:00 PM,Collin,0918-24-285,Dallas,Statewide Let,Construction,Bidders,,"IBCTX, LLC",true
12/03/2025 01:00:00 PM,Potter,0904-00-228,Amarillo,Statewide Let,Construction,Bidders,,"STRIPING TECHNOLOGY, L.P.",true
12/02/2025 01:00:00 PM,El Paso,0924-00-124,El Paso,Statewide Let,Construction,Bidders,,"STRIPE-A-ZONE, LLC",true
12/03/2025 01:00:00 PM,Hale,0905-12-046,Lubbock,Statewide Let,Construction,Bidders,C 905-12-46,"O. TREVINO CONSTRUCTION, LLC",true
12/02/2025 01:00:00 PM,Bowie,0046-05-048,Atlanta,Statewide Let,Construction,Bidders,,CDM HOLDINGS,true
12/02/2025 01:00:00 PM,Erath,0343-03-029,Fort Worth,Statewide Let,Construction,Bidders,C 343-3-29,CDM HOLDINGS,true
12/10/2025 10:00:00 AM,Kaufman,6489-26-001,Dallas,Local District Let,Maintenance,Bidders,RMC - A00217341,"STRIPING TECHNOLOGY, L.P.",true
12/02/2025 01:00:00 PM,Karnes,0348-04-055,Corpus Christi,Statewide Let,Construction,Bidders,,"RELMCO, INC.",true
12/10/2025 10:00:00 AM,Kaufman,6489-26-001,Dallas,Local District Let,Maintenance,Informational Proposals,RMC - A00217341,MICHAEL SANCHEZ,false
12/02/2025 01:00:00 PM,Galveston,0367-06-065,Houston,Statewide Let,Construction,Bidders,,"RAGLE CONSTRUCTION, INC.",true
12/09/2025 10:30:00 AM,Grimes,6489-57-001,Bryan,Local District Let,Maintenance,Bidders,RMC - A00217481,L&L LAND MANAGEMENT,true
12/02/2025 01:00:00 PM,De Witt,0913-00-139,Yoakum,Statewide Let,Construction,Bidders,,"RELMCO, INC.",true
12/08/2025 10:00:00 AM,Colorado,6479-45-001,Yoakum,Local District Let,Maintenance,Informational Proposals,RMC - A00213865,ArborTrue LLC,true
12/03/2025 01:00:00 PM,De Witt,0943-02-012,Yoakum,Statewide Let,Construction,Bidders,,"ACME BRIDGE COMPANY, INC.",true
12/03/2025 01:00:00 PM,Palo Pinto,6491-62-001,Fort Worth,Statewide Let,Maintenance,Informational Proposals,RMC - A00217903,ArborTrue LLC,true
12/03/2025 01:00:00 PM,Bexar,0017-10-292,San Antonio,Statewide Let,Construction,Bidders,,"AUSTIN BRIDGE & ROAD SERVICES, LP",true
